Id,ActivityHour,TotalIntensity,AverageIntensity,Calories,StepTotal
1503960366,2016-04-12 00:00:00,20,0.333333,81,373
1503960366,2016-04-12 01:00:00,8,0.133333,61,160
1503960366,2016-04-12 02:00:00,7,0.116667,59,151
1503960366,2016-04-12 03:00:00,0,0.0,47,0
1503960366,2016-04-12 04:00:00,0,0.0,48,0
1503960366,2016-04-12 05:00:00,0,0.0,48,0
1503960366,2016-04-12 06:00:00,0,0.0,48,0
1503960366,2016-04-12 07:00:00,0,0.0,47,0
1503960366,2016-04-12 08:00:00,13,0.216667,68,250
1503960366,2016-04-12 09:00:00,30,0.5,141,1864
1503960366,2016-04-12 10:00:00,29,0.483333,99,676
1503960366,2016-04-12 11:00:00,12,0.2,76,360
1503960366,2016-04-12 12:00:00,11,0.183333,73,253
1503960366,2016-04-12 13:00:00,6,0.1,66,221
1503960366,2016-04-12 14:00:00,36,0.6,110,1166
1503960366,2016-04-12 15:00:00,58,0.966667,151,2063
1503960366,2016-04-12 16:00:00,13,0.216667,76,344
1503960366,2016-04-12 17:00:00,16,0.266667,83,489
1503960366,2016-04-12 18:00:00,29,0.483333,124,1386
1503960366,2016-04-12 19:00:00,39,0.65,104,558
1503960366,2016-04-12 20:00:00,41,0.683333,132,1733
1503960366,2016-04-12 21:00:00,31,0.516667,100,684
1503960366,2016-04-12 22:00:00,9,0.15,65,89
1503960366,2016-04-12 23:00:00,21,0.35,81,338
1503960366,2016-04-13 00:00:00,14,0.233333,69,144
1503960366,2016-04-13 01:00:00,0,0.0,48,0
1503960366,2016-04-13 02:00:00,0,0.0,47,0
1503960366,2016-04-13 03:00:00,4,0.066667,53,36
1503960366,2016-04-13 04:00:00,0,0.0,47,0
1503960366,2016-04-13 05:00:00,0,0.0,47,0
1503960366,2016-04-13 06:00:00,0,0.0,48,0
1503960366,2016-04-13 07:00:00,8,0.133333,59,126
1503960366,2016-04-13 08:00:00,12,0.2,69,275
1503960366,2016-04-13 09:00:00,27,0.45,136,1679
1503960366,2016-04-13 10:00:00,15,0.25,77,295
1503960366,2016-04-13 11:00:00,16,0.266667,84,524
1503960366,2016-04-13 12:00:00,15,0.25,82,486
1503960366,2016-04-13 13:00:00,10,0.166667,72,302
1503960366,2016-04-13 14:00:00,46,0.766667,128,1577
1503960366,2016-04-13 15:00:00,13,0.216667,79,493
1503960366,2016-04-13 16:00:00,10,0.166667,71,299
1503960366,2016-04-13 17:00:00,23,0.383333,87,695
1503960366,2016-04-13 18:00:00,25,0.416667,118,1343
1503960366,2016-04-13 19:00:00,13,0.216667,73,258
1503960366,2016-04-13 20:00:00,0,0.0,47,0
1503960366,2016-04-13 21:00:00,0,0.0,48,0
1503960366,2016-04-13 22:00:00,11,0.183333,74,437
1503960366,2016-04-13 23:00:00,56,0.933333,135,1766
1503960366,2016-04-14 00:00:00,4,0.066667,56,81
1503960366,2016-04-14 01:00:00,3,0.05,54,58
1503960366,2016-04-14 02:00:00,0,0.0,47,0
1503960366,2016-04-14 03:00:00,0,0.0,47,0
1503960366,2016-04-14 04:00:00,0,0.0,47,0
1503960366,2016-04-14 05:00:00,0,0.0,47,0
1503960366,2016-04-14 06:00:00,0,0.0,47,0
1503960366,2016-04-14 07:00:00,0,0.0,47,0
1503960366,2016-04-14 08:00:00,0,0.0,47,0
1503960366,2016-04-14 09:00:00,14,0.233333,93,902
1503960366,2016-04-14 10:00:00,23,0.383333,109,1106
1503960366,2016-04-14 11:00:00,7,0.116667,64,50
1503960366,2016-04-14 12:00:00,18,0.3,85,501
1503960366,2016-04-14 13:00:00,54,0.9,137,1779
1503960366,2016-04-14 14:00:00,22,0.366667,113,1228
1503960366,2016-04-14 15:00:00,7,0.116667,66,139
1503960366,2016-04-14 16:00:00,25,0.416667,88,408
1503960366,2016-04-14 17:00:00,5,0.083333,61,37
1503960366,2016-04-14 18:00:00,12,0.2,72,322
1503960366,2016-04-14 19:00:00,1,0.016667,55,11
1503960366,2016-04-14 20:00:00,24,0.4,91,806
1503960366,2016-04-14 21:00:00,57,0.95,174,2670
1503960366,2016-04-14 22:00:00,17,0.283333,79,362
1503960366,2016-04-14 23:00:00,0,0.0,50,0
1503960366,2016-04-15 00:00:00,6,0.1,60,83
1503960366,2016-04-15 01:00:00,5,0.083333,58,75
1503960366,2016-04-15 02:00:00,7,0.116667,59,124
1503960366,2016-04-15 03:00:00,0,0.0,47,0
1503960366,2016-04-15 04:00:00,0,0.0,47,0
1503960366,2016-04-15 05:00:00,1,0.016667,49,26
1503960366,2016-04-15 06:00:00,0,0.0,47,0
1503960366,2016-04-15 07:00:00,1,0.016667,49,7
1503960366,2016-04-15 08:00:00,5,0.083333,54,55
1503960366,2016-04-15 09:00:00,2,0.033333,50,21
1503960366,2016-04-15 10:00:00,8,0.133333,63,154
1503960366,2016-04-15 11:00:00,23,0.383333,84,425
1503960366,2016-04-15 12:00:00,13,0.216667,74,270
1503960366,2016-04-15 13:00:00,9,0.15,67,373
1503960366,2016-04-15 14:00:00,0,0.0,47,0
1503960366,2016-04-15 15:00:00,0,0.0,47,0
1503960366,2016-04-15 16:00:00,0,0.0,47,0
1503960366,2016-04-15 17:00:00,47,0.783333,140,1774
1503960366,2016-04-15 18:00:00,22,0.366667,87,509
1503960366,2016-04-15 19:00:00,32,0.533333,97,519
1503960366,2016-04-15 20:00:00,8,0.133333,64,77
1503960366,2016-04-15 21:00:00,14,0.233333,75,280
1503960366,2016-04-15 22:00:00,66,1.1,151,2145
1503960366,2016-04-15 23:00:00,95,1.583333,182,2768
1503960366,2016-04-16 00:00:00,15,0.25,77,459
1503960366,2016-04-16 01:00:00,0,0.0,48,0
1503960366,2016-04-16 02:00:00,3,0.05,52,63
1503960366,2016-04-16 03:00:00,1,0.016667,48,6
1503960366,2016-04-16 04:00:00,1,0.016667,49,6
1503960366,2016-04-16 05:00:00,1,0.016667,49,12
1503960366,2016-04-16 06:00:00,0,0.0,48,0
